"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C24","C0603","16.764mm","52.4258mm","16.764mm","52.4258mm","16.014mm","52.4258mm","T","360.00","Cap Semi"
"D1","0603","11.0425mm","53.5034mm","11.0425mm","53.5034mm","10.1925mm","53.5034mm","T","360.00","LED"
"D2","0603","28.6447mm","52.2274mm","28.6447mm","52.2274mm","27.7947mm","52.2274mm","T","360.00","LED"
"ISP1","HDR1X4","17.9578mm","38.2526mm","21.7678mm","38.2526mm","21.7678mm","38.2526mm","T","180.00","SWD"
"OUT1","HDR1X4","38.6334mm","45.644mm","38.6334mm","49.454mm","38.6334mm","49.454mm","T","270.00","SWD"
"P1","USB-MICRO","2.5926mm","45.6186mm","1.1176mm","45.6186mm","4.0676mm","46.9186mm","T","270.00","USB-MICRO"
"R1","R0603-M","9.398mm","39.3956mm","9.398mm","39.3956mm","8.623mm","39.3956mm","T","360.00","Resistors SMD"
"R2","R0603-M","9.398mm","37.9986mm","9.398mm","37.9986mm","8.623mm","37.9986mm","T","360.00","Resistors SMD"
"R3","R0603-M","9.398mm","40.7418mm","9.398mm","40.7418mm","8.623mm","40.7418mm","T","0.00","Resistors SMD"
"R4","R0603-M","25.3746mm","52.2226mm","25.3746mm","52.2226mm","26.1496mm","52.2226mm","T","180.00","Resistors SMD"
"R5","R0603-M","7.8232mm","53.4926mm","7.8232mm","53.4926mm","8.5982mm","53.4926mm","T","180.00","Resistors SMD"
"R6","R0603-M","20.7772mm","50.8764mm","20.7772mm","50.8764mm","20.0022mm","50.8764mm","T","0.00","Resistors SMD"
"R7","R0603-M","26.6192mm","41.8594mm","26.6192mm","41.8594mm","26.6192mm","42.6344mm","T","270.00","Resistors SMD"
"R8","R0603-M","29.2482mm","49.327mm","29.2482mm","49.327mm","30.0232mm","49.327mm","T","180.00","Resistors SMD"
"R9","R0603-M","30.0482mm","46.4568mm","30.0482mm","46.4568mm","30.0482mm","47.2318mm","T","270.00","Resistors SMD"
"R10","R0603-M","28.7528mm","46.4568mm","28.7528mm","46.4568mm","28.7528mm","47.2318mm","T","270.00","Resistors SMD"
"R11","R0603-M","16.764mm","51.0288mm","16.764mm","51.0288mm","17.539mm","51.0288mm","T","180.00","Resistors SMD"
"R12","R0603-M","26.0096mm","46.4314mm","26.0096mm","46.4314mm","26.0096mm","45.6564mm","T","90.00","Resistors SMD"
"R13","R0603-M","24.9174mm","39.7512mm","24.9174mm","39.7512mm","25.6924mm","39.7512mm","T","180.00","Resistors SMD"
"R14","R0603-M","19.812mm","52.4512mm","19.812mm","52.4512mm","19.037mm","52.4512mm","T","360.00","Resistors SMD"
